,Метка часу,Где вы учитесь?,В каком вы классе?,Какие предметы вы планируете сдавать?,На какой балл по экзу ты реально рассчитываешь?,Когда ты впервые задумался о том чтобы пойти на курсы/взять репета?,Когда ты по итогу записался на курсы / взял репета?,По каким предметам ты взял репета?
0,16.01.2026 21:19:33,Лицей бгу,11.0,"Математика, Беларусский",90+,Первая половина 11го класса,Вторая половина 11го класса,
1,16.01.2026 21:31:53,Лицей БГУ,11.0,"Беларусский, Иностранный язык, Обществоведение",70-80,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),Англ и мова
2,16.01.2026 21:32:25,лицей бгу,10.0,"Математика, Беларусский, Иностранный язык, Обществоведение",80-90,Первая половина 10го класса,Первая половина 11го класса,еще не взял
3,16.01.2026 21:32:48,Лицэй,11.0,"Математика, Физика",90+,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
4,16.01.2026 21:33:08,Лицей БГУ,10.0,"Математика, Русский, Обществоведение",90+,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),еще не брала
5,16.01.2026 21:34:19,лицей бгу,11.0,"Математика, Беларусский",80-90,Я считаю что сдам своими силами,,
6,16.01.2026 21:35:00,Лицей БГУ,11.0,"Математика, Физика, Беларусский",80-90,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
7,16.01.2026 21:35:03,лицей бгу,10.0,"Математика, Физика",90+,Первая половина 10го класса,Первая половина 10го класса,физика/матем
8,16.01.2026 21:35:33,лицей бгу,11.0,"Математика, Физика, Беларусский",90+,Вторая половина 11го класса,Первая половина 11го класса,
9,16.01.2026 21:36:23,лицей,11.0,Русский,До 70,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
10,16.01.2026 21:36:50,Лицей БГУ,11.0,"Русский, Биология, Химия",90+,Первая половина 11го класса,Вторая половина 11го класса,"Биология, русский "
11,16.01.2026 21:40:52,ЛБГУ,11.0,"Математика, Физика, Русский",90+,Вторая половина 10го класса,Первая половина 11го класса,Русский язык 
12,16.01.2026 21:42:11,Лицей БГУ,11.0,"Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Первая половина 11го класса,Англ
13,16.01.2026 21:42:58,Лицей БГУ,10.0,"Беларусский, Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Вторая половина 10го класса,Английский 
14,16.01.2026 21:44:00,Лицей БГУ,11.0,"Русский, Иностранный язык, Обществоведение",90+,Первая половина 11го класса,Первая половина 11го класса,"Английский, Русский, Обществоведение"
15,16.01.2026 21:44:50,лицей бгу,10.0,"Математика, Иностранный язык",90+,Я считаю что сдам своими силами,,
16,16.01.2026 21:47:25,гимназия 41,10.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,,не брал но планирую взять по русскому в 11
17,16.01.2026 21:51:21,лицей бгу,11.0,"Иностранный язык, Обществоведение",90+,Первая половина 11го класса,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),ни по каким
18,16.01.2026 21:51:29,лицей бгу,11.0,"Математика, Физика, Беларусский",80-90,Вторая половина 10го класса,Первая половина 11го класса,"физика, белорусский "
19,,,,,,,,
20,16.01.2026 21:52:59,гимназия 41,10.0,"Математика, Русский",80-90,Первая половина 10го класса,Первая половина 10го класса,"русский, черчение, композиция, академический рисунок"
21,16.01.2026 21:53:19,Лицей БГУ,11.0,"Русский, Обществоведение, География",90+,Первая половина 11го класса,Первая половина 11го класса,Русский язык
22,16.01.2026 22:01:06,лицей бгу,10.0,"Математика, Русский, Иностранный язык",80-90,Первая половина 10го класса,Первая половина 11го класса,"всем, но математику надо раньше начать"
23,16.01.2026 22:02:39,лицей,11.0,"Математика, Беларусский",90+,Я считаю что сдам своими силами,,не брал
24,16.01.2026 22:03:54,Лицей БГУ ,11.0,"Математика, Русский, Иностранный язык",90+,Вторая половина 10го класса,Вторая половина 10го класса,Рус и англ
25,16.01.2026 22:08:56,Лицей бгу,11.0,"Русский, Биология, Химия",90+,Первая половина 11го класса,Первая половина 11го класса,"Биология, химия"
26,16.01.2026 22:09:19,лимфед,11.0,"Математика, Физика, Русский",80-90,Вторая половина 10го класса,Первая половина 11го класса,русский
27,16.01.2026 22:09:52,Лицей им. Ф.Э. Дзержинского БГУ,10.0,"Русский, Биология, Истрия",90+,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),биология
28,16.01.2026 22:13:57,Лицей БГУ,10.0,"Русский, Иностранный язык, Обществоведение",90+,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
29,16.01.2026 22:16:05,Лицей ьгу,11.0,"Математика, Физика",90+,Я считаю что сдам своими силами,,БаскетаБол
30,16.01.2026 22:18:04,лицей бгу,10.0,"Иностранный язык, Обществоведение, Истрия",90+,Я считаю что сдам своими силами,,
31,16.01.2026 22:18:50,Лицей БГУ ,11.0,"Математика, Беларусский, Иностранный язык",80-90,Вторая половина 11го класса,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),"Ещё не взяла, мб потом "
32,16.01.2026 22:19:04,Лицей БГУ,11.0,"Математика, Физика, Русский",90+,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),не записался
33,16.01.2026 22:19:46,лицей бгу,11.0,"Математика, Русский, Иностранный язык, Обществоведение",90+,Первая половина 11го класса,Первая половина 11го класса,математика 
34,16.01.2026 22:26:01,Лицей БГУ,11.0,"Русский, Биология, Химия",80-90,Вторая половина 10го класса,Первая половина 11го класса,"Химия, биология, русский"
35,16.01.2026 22:26:19,Ліцэй БДУ,11.0,"Математика, Физика, Беларусский",80-90,Я считаю что сдам своими силами,,"няма ў мяне рэпета, я і так здам."
36,16.01.2026 22:26:46,лицей бгу,11.0,"Русский, Биология, Химия",90+,Вторая половина 11го класса,Вторая половина 11го класса,"по химии. но еще в конце 10, чтобы подтянуть знания"
37,16.01.2026 22:28:42,ліцэй бду,11.0,"Математика, Физика, Беларусский",90+,Первая половина 11го класса,Первая половина 11го класса,мова
38,16.01.2026 22:28:59,Гимназия,11.0,"Русский, Иностранный язык, Истрия",80-90,Вторая половина 10го класса,Первая половина 11го класса,"История Беларуси в контексте всемирной истории, английский язык"
39,16.01.2026 22:29:20,ИМ,11.0,"Математика, Беларусский, Иностранный язык",80-90,Я считаю что сдам своими силами,,
40,16.01.2026 22:35:43,Гимназия г. Светлогорска,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 11го класса,Русский язык 
41,16.01.2026 22:35:52,ЛБГУ,11.0,"Русский, Биология, Химия",90+,Вторая половина 10го класса,Первая половина 11го класса,Курсы био и рус в лицее
42,16.01.2026 22:36:04,лицей лабубу ,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,
43,16.01.2026 22:36:12,лбгу,11.0,"Беларусский, Биология, Химия",90+,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
